ID,Allocentric Before Turn,Egocentric Turn Type,Allocentric After Turn,Timestamp Entry,Timestamp Exit,Alley Exited,Intersection,Alley Entered
309,2,2,3,3008893350,3010094960,8,H,9
310,3,2,4,3011129168,3011262648,9,L,10
311,4,1,4,3012097159,3012297563,10,K,13
312,2,4,1,3012997413,3013299251,13,K,11
313,1,1,1,3013599229,3014199553,11,G,5
314,1,2,2,3014664980,3014900152,5,C,6
315,2,2,3,3025109055,3025210313,6,D,7
316,3,2,4,3026009962,3026179256,7,H,8
317,4,2,1,3028413357,3028647648,8,G,5
318,3,2,4,3029247492,3029346420,5,G,12
319,4,2,1,3029981477,3030115955,12,F,3
320,3,2,4,3030850134,3030949727,3,F,1
321,4,2,1,3032416925,3032584268,1,E,2
322,1,2,2,3033418598,3033486705,2,A,0
323,2,1,2,3034252579,3034453071,0,B,4
324,2,1,2,3044897288,3046731216,4,C,6
325,2,2,3,3055674096,3055841694,6,D,7
326,3,1,3,3056408498,3060077609,7,H,9
327,3,2,4,3063148927,3063247970,9,L,10
328,4,1,4,3069354209,3069554395,10,K,13
329,2,4,1,3070222658,3070522687,13,K,11
330,1,1,1,3070822587,3071123006,11,G,5
331,1,2,2,3071756249,3072055395,5,C,6
332,2,2,3,3080265578,3080365236,6,D,7
333,3,1,3,3081198558,3081465902,7,H,9
334,1,4,4,3082268043,3082434710,9,H,8
335,4,2,1,3083301341,3085002901,8,G,5
336,1,2,2,3088072229,3088405354,5,C,6
337,2,2,3,3089140048,3089340452,6,D,7
338,3,2,4,3090041992,3090341877,7,H,8
339,4,1,4,3091376907,3091777044,8,G,12
340,4,1,4,3092576863,3092878125,12,F,1
341,4,2,1,3114466993,3114499804,1,E,2
342,1,2,2,3118204171,3118403694,2,A,0
343,2,1,2,3118738092,3118971492,0,B,4
344,2,1,2,3119704317,3120105933,4,C,6
345,2,2,3,3120873183,3125277273,6,D,7
346,3,1,3,3128346273,3133818851,7,H,9
347,3,2,4,3136821800,3137054223,9,L,10
348,4,1,4,3137489616,3137889619,10,K,13
349,4,1,4,3139256708,3139523457,13,J,15
350,4,2,1,3140258261,3140325161,15,I,16
351,1,1,1,3141059372,3141226162,16,E,2
352,1,2,2,3142095122,3142226653,2,A,0
353,2,1,2,3142961489,3143195702,0,B,4
354,2,3,4,3145229358,3146130868,4,C,4
355,2,1,2,3152270652,3152537282,4,C,6
356,4,4,3,3153671424,3153805819,6,C,5
357,1,2,2,3155005989,3155839406,5,C,6
358,4,4,3,3156809024,3157009135,6,C,5
359,3,1,3,3157943608,3158344333,5,G,11
360,3,2,4,3159277739,3159410988,11,K,13
361,4,1,4,3160479216,3160713205,13,J,15
362,4,2,1,3161578885,3167485507,15,I,16
363,1,1,1,3168020214,3168220599,16,E,2
364,1,2,2,3168953853,3169020145,2,A,0
